Mod:Item:MetaData, Localized Name
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:reservoir:0, Reservoir (Basic)
thermalexpansion:reservoir:1, Reservoir (Hardened)
thermalexpansion:reservoir:2, Reservoir (Reinforced)
thermalexpansion:reservoir:3, Reservoir (Signalum)
thermalexpansion:reservoir:4, Reservoir (Resonant)
thermalexpansion:reservoir:32000, Reservoir (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
railcraft:creosote, Creosote
railcraft:steam, Steam
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:armor_helmet_steel, Steel Helmet
railcraft:armor_chestplate_steel, Steel Chestplate
railcraft:armor_leggings_steel, Steel Leggings
railcraft:armor_boots_steel, Steel Boots
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:armor_overalls, Engineer's Overalls
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:equipment:3, Smoker
railcraft:trade_station:0, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, Force Track
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine:0, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, item.railcraft.charge.electrode.carbon.name
railcraft:charge:10, item.railcraft.charge.electrode.silver.name
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:worldspike:0, Admin Worldspike
railcraft:worldspike:1, Passive Worldspike
railcraft:worldspike:2, Personal Worldspike
railcraft:worldspike:3, Standard Worldspike
railcraft:worldspike_point, Worldspike Point
railcraft:cart_worldspike_standard:0, Standard Worldspike Cart
railcraft:cart_worldspike_admin:0, Admin Worldspike Cart
railcraft:cart_worldspike_personal:0, Personal Worldspike Cart
railcraft:emblem, Emblem
railcraft:anvil:0, Steel Anvil
railcraft:anvil:1, Slightly Damaged Steel Anvil
railcraft:anvil:2, Very Damaged Steel Anvil
railcraft:fuel_coke, Coal Coke
railcraft:coke_oven:0, Coke Oven Brick
railcraft:coke_oven_red:0, tile.railcraft.coke.oven.red.name
railcraft:blast_furnace:0, Blast Furnace Brick
railcraft:rock_crusher:0, Rock Crusher
railcraft:steam_oven:0, Steam Oven
railcraft:tank_iron_gauge:0, Iron Tank Gauge
railcraft:tank_iron_gauge:1, Iron Tank Gauge
railcraft:tank_iron_gauge:2, Iron Tank Gauge
railcraft:tank_iron_gauge:3, Iron Tank Gauge
railcraft:tank_iron_gauge:4, Iron Tank Gauge
railcraft:tank_iron_gauge:5, Iron Tank Gauge
railcraft:tank_iron_gauge:6, Iron Tank Gauge
railcraft:tank_iron_gauge:7, Iron Tank Gauge
railcraft:tank_iron_gauge:8, Iron Tank Gauge
railcraft:tank_iron_gauge:9, Iron Tank Gauge
railcraft:tank_iron_gauge:10, Iron Tank Gauge
railcraft:tank_iron_gauge:11, Iron Tank Gauge
railcraft:tank_iron_gauge:12, Iron Tank Gauge
railcraft:tank_iron_gauge:13, Iron Tank Gauge
railcraft:tank_iron_gauge:14, Iron Tank Gauge
railcraft:tank_iron_gauge:15, Iron Tank Gauge
railcraft:tank_iron_valve:0, Iron Tank Valve
railcraft:tank_iron_valve:1, Iron Tank Valve
railcraft:tank_iron_valve:2, Iron Tank Valve
railcraft:tank_iron_valve:3, Iron Tank Valve
railcraft:tank_iron_valve:4, Iron Tank Valve
railcraft:tank_iron_valve:5, Iron Tank Valve
railcraft:tank_iron_valve:6, Iron Tank Valve
railcraft:tank_iron_valve:7, Iron Tank Valve
railcraft:tank_iron_valve:8, Iron Tank Valve
railcraft:tank_iron_valve:9, Iron Tank Valve
railcraft:tank_iron_valve:10, Iron Tank Valve
railcraft:tank_iron_valve:11, Iron Tank Valve
railcraft:tank_iron_valve:12, Iron Tank Valve
railcraft:tank_iron_valve:13, Iron Tank Valve
railcraft:tank_iron_valve:14, Iron Tank Valve
railcraft:tank_iron_valve:15, Iron Tank Valve
railcraft:tank_iron_wall:0, Iron Tank Wall
railcraft:tank_iron_wall:1, Iron Tank Wall
railcraft:tank_iron_wall:2, Iron Tank Wall
railcraft:tank_iron_wall:3, Iron Tank Wall
railcraft:tank_iron_wall:4, Iron Tank Wall
railcraft:tank_iron_wall:5, Iron Tank Wall
railcraft:tank_iron_wall:6, Iron Tank Wall
railcraft:tank_iron_wall:7, Iron Tank Wall
railcraft:tank_iron_wall:8, Iron Tank Wall
railcraft:tank_iron_wall:9, Iron Tank Wall
railcraft:tank_iron_wall:10, Iron Tank Wall
railcraft:tank_iron_wall:11, Iron Tank Wall
railcraft:tank_iron_wall:12, Iron Tank Wall
railcraft:tank_iron_wall:13, Iron Tank Wall
railcraft:tank_iron_wall:14, Iron Tank Wall
railcraft:tank_iron_wall:15, Iron Tank Wall
railcraft:tank_steel_gauge:0, Steel Tank Gauge
railcraft:tank_steel_gauge:1, Steel Tank Gauge
railcraft:tank_steel_gauge:2, Steel Tank Gauge
railcraft:tank_steel_gauge:3, Steel Tank Gauge
railcraft:tank_steel_gauge:4, Steel Tank Gauge
railcraft:tank_steel_gauge:5, Steel Tank Gauge
railcraft:tank_steel_gauge:6, Steel Tank Gauge
railcraft:tank_steel_gauge:7, Steel Tank Gauge
railcraft:tank_steel_gauge:8, Steel Tank Gauge
railcraft:tank_steel_gauge:9, Steel Tank Gauge
railcraft:tank_steel_gauge:10, Steel Tank Gauge
railcraft:tank_steel_gauge:11, Steel Tank Gauge
railcraft:tank_steel_gauge:12, Steel Tank Gauge
railcraft:tank_steel_gauge:13, Steel Tank Gauge
railcraft:tank_steel_gauge:14, Steel Tank Gauge
railcraft:tank_steel_gauge:15, Steel Tank Gauge
railcraft:tank_steel_valve:0, Steel Tank Valve
railcraft:tank_steel_valve:1, Steel Tank Valve
railcraft:tank_steel_valve:2, Steel Tank Valve
railcraft:tank_steel_valve:3, Steel Tank Valve
railcraft:tank_steel_valve:4, Steel Tank Valve
railcraft:tank_steel_valve:5, Steel Tank Valve
railcraft:tank_steel_valve:6, Steel Tank Valve
railcraft:tank_steel_valve:7, Steel Tank Valve
railcraft:tank_steel_valve:8, Steel Tank Valve
railcraft:tank_steel_valve:9, Steel Tank Valve
railcraft:tank_steel_valve:10, Steel Tank Valve
railcraft:tank_steel_valve:11, Steel Tank Valve
railcraft:tank_steel_valve:12, Steel Tank Valve
railcraft:tank_steel_valve:13, Steel Tank Valve
railcraft:tank_steel_valve:14, Steel Tank Valve
railcraft:tank_steel_valve:15, Steel Tank Valve
railcraft:tank_steel_wall:0, Steel Tank Wall
railcraft:tank_steel_wall:1, Steel Tank Wall
railcraft:tank_steel_wall:2, Steel Tank Wall
railcraft:tank_steel_wall:3, Steel Tank Wall
railcraft:tank_steel_wall:4, Steel Tank Wall
railcraft:tank_steel_wall:5, Steel Tank Wall
railcraft:tank_steel_wall:6, Steel Tank Wall
railcraft:tank_steel_wall:7, Steel Tank Wall
railcraft:tank_steel_wall:8, Steel Tank Wall
railcraft:tank_steel_wall:9, Steel Tank Wall
railcraft:tank_steel_wall:10, Steel Tank Wall
railcraft:tank_steel_wall:11, Steel Tank Wall
railcraft:tank_steel_wall:12, Steel Tank Wall
railcraft:tank_steel_wall:13, Steel Tank Wall
railcraft:tank_steel_wall:14, Steel Tank Wall
railcraft:tank_steel_wall:15, Steel Tank Wall
railcraft:tank_water:0, Water Tank Siding
railcraft:chest_metals:0, Metals Chest
railcraft:cart_chest_metals:0, Metals Chest Cart
railcraft:firestone_cracked, Cracked Firestone
railcraft:firestone_cut, Cut Firestone
railcraft:firestone_raw, Raw Firestone
railcraft:firestone_refined, Refined Firestone
railcraft:cart_redstone_flux:0, Redstone Flux Cart
railcraft:flux_transformer:0, Flux Transformer
railcraft:metal:0, Block of Copper
railcraft:metal:1, Block of Tin
railcraft:metal:2, Block of Lead
railcraft:metal:4, Block of Silver
railcraft:metal:3, Block of Steel
railcraft:metal:5, Block of Bronze
railcraft:metal:6, Block of Nickel
railcraft:metal:7, Block of Invar
railcraft:metal:8, Block of Zinc
railcraft:metal:9, Block of Brass
railcraft:fluid_bottle_creosote, Creosote Bottle
railcraft:fluid_bottle_steam, Steam Bottle
railcraft:nugget:0, Steel Nugget
railcraft:nugget:1, Copper Nugget
railcraft:nugget:2, Tin Nugget
railcraft:nugget:3, Lead Nugget
railcraft:nugget:4, Silver Nugget
railcraft:nugget:5, Bronze Nugget
railcraft:nugget:6, Nickel Nugget
railcraft:nugget:7, Invar Nugget
railcraft:nugget:8, Zinc Nugget
railcraft:nugget:9, Brass Nugget
railcraft:ingot:0, Steel Ingot
railcraft:ingot:1, Copper Ingot
railcraft:ingot:2, Tin Ingot
railcraft:ingot:3, Lead Ingot
railcraft:ingot:4, Silver Ingot
railcraft:ingot:5, Bronze Ingot
railcraft:ingot:6, Nickel Ingot
railcraft:ingot:7, Invar Ingot
railcraft:ingot:8, Zinc Ingot
railcraft:ingot:9, Brass Ingot
railcraft:gear:0, Brass Gear
railcraft:gear:1, Iron Gear
railcraft:gear:2, Steel Gear
railcraft:gear:3, Gear Bushing
railcraft:gear:4, Bronze Gear
railcraft:gear:5, Invar Gear
railcraft:plate:0, Iron Plate
railcraft:plate:1, Steel Plate
railcraft:plate:2, Tin Plate
railcraft:plate:3, Copper Plate
railcraft:plate:4, Lead Plate
railcraft:plate:5, Silver Plate
railcraft:plate:6, Bronze Plate
railcraft:plate:7, Gold Plate
railcraft:plate:8, Nickel Plate
railcraft:plate:9, Invar Plate
railcraft:plate:10, Zinc Plate
railcraft:plate:11, Brass Plate
railcraft:dust:0, Obsidian Dust
railcraft:dust:1, Sulfur
railcraft:dust:2, Saltpeter
railcraft:dust:3, Charcoal Dust
railcraft:dust:4, Ground Blast Furnace Slag
railcraft:dust:5, Coal Dust
railcraft:dust:6, Ender Powder
railcraft:dust:7, Void Powder
railcraft:tool_crowbar_seasons, Crowbar of Seasons
railcraft:cart_pumpkin:0, Pumpkin Cart
railcraft:cart_gift:0, Gift Cart
railcraft:signal:0, Block Signal
railcraft:signal:1, Distant Signal
railcraft:signal:2, Token Signal
railcraft:signal_dual:0, Dual-Head Block Signal
railcraft:signal_dual:1, Dual-Head Distant Signal
railcraft:signal_dual:2, Dual-Head Token Signal
railcraft:signal_box:2, Signal Controller Box
railcraft:signal_box:4, Signal Receiver Box
railcraft:signal_box:0, Analog Signal Controller Box
railcraft:signal_box:1, Signal Capacitor Box
railcraft:signal_box:3, Signal Interlock Box
railcraft:signal_box:6, Signal Sequencer Box
railcraft:signal_box:5, Signal Block Relay Box
railcraft:tool_signal_surveyor:0, Signal Surveyor
railcraft:tool_signal_tuner:0, Signal Tuner
railcraft:signal_lamp, Signal Lamp
railcraft:tool_signal_label, Signal Label
railcraft:circuit:0, Controller Circuit
railcraft:circuit:1, Receiver Circuit
railcraft:circuit:2, Signal Circuit
railcraft:circuit:3, Radio Circuit
railcraft:admin_steam_producer:0, Admin Steam Producer
railcraft:boiler_firebox_fluid:0, Fluid Fueled Boiler Firebox
railcraft:boiler_firebox_solid:0, Solid Fueled Boiler Firebox
railcraft:boiler_tank_pressure_high:0, High Pressure Boiler Tank
railcraft:boiler_tank_pressure_low:0, Low Pressure Boiler Tank
railcraft:brick_bleachedbone:0, Bleached Bone Brick
railcraft:brick_bleachedbone:1, Fitted Bleached Bone Stone
railcraft:brick_bleachedbone:2, Bleached Bone Block
railcraft:brick_bleachedbone:3, Ornate Bleached Bone Stone
railcraft:brick_bleachedbone:4, Etched Bleached Bone Stone
railcraft:brick_bleachedbone:5, Bleached Bone Cobblestone
railcraft:brick_bloodstained:0, Blood Stained Brick
railcraft:brick_bloodstained:1, Fitted Blood Stained Stone
railcraft:brick_bloodstained:2, Blood Stained Block
railcraft:brick_bloodstained:3, Ornate Blood Stained Stone
railcraft:brick_bloodstained:4, Etched Blood Stained Stone
railcraft:brick_bloodstained:5, Blood Stained Cobblestone
railcraft:brick_frostbound:0, Frost Bound Brick
railcraft:brick_frostbound:1, Fitted Frost Bound Stone
railcraft:brick_frostbound:2, Frost Bound Block
railcraft:brick_frostbound:3, Ornate Frost Bound Stone
railcraft:brick_frostbound:4, Etched Frost Bound Stone
railcraft:brick_frostbound:5, Frost Bound Cobblestone
railcraft:brick_infernal:0, Infernal Brick
railcraft:brick_infernal:1, Fitted Infernal Stone
railcraft:brick_infernal:2, Infernal Block
railcraft:brick_infernal:3, Ornate Infernal Stone
railcraft:brick_infernal:4, Etched Infernal Stone
railcraft:brick_infernal:5, Infernal Cobblestone
railcraft:brick_sandy:0, Sandy Brick
railcraft:brick_sandy:1, Fitted Sandy Stone
railcraft:brick_sandy:2, Sandy Block
railcraft:brick_sandy:3, Ornate Sandy Stone
railcraft:brick_sandy:4, Etched Sandy Stone
railcraft:brick_sandy:5, Sandy Cobblestone
railcraft:brick_red_sandy:0, Red Sandy Brick
railcraft:brick_red_sandy:1, Fitted Red Sandy Stone
railcraft:brick_red_sandy:2, Red Sandy Block
railcraft:brick_red_sandy:3, Ornate Red Sandy Stone
railcraft:brick_red_sandy:4, Etched Red Sandy Stone
railcraft:brick_red_sandy:5, Red Sandy Cobblestone
railcraft:brick_nether:0, Nether Brick
railcraft:brick_nether:1, Fitted Nether Stone
railcraft:brick_nether:2, Nether Block
railcraft:brick_nether:3, Ornate Nether Stone
railcraft:brick_nether:4, Etched Nether Stone
railcraft:brick_nether:5, Nether Cobblestone
railcraft:brick_red_nether:0, Red Nether Brick
railcraft:brick_red_nether:1, Fitted Red Nether Stone
railcraft:brick_red_nether:2, Red Nether Block
railcraft:brick_red_nether:3, Ornate Red Nether Stone
railcraft:brick_red_nether:4, Etched Red Nether Stone
railcraft:brick_red_nether:5, Red Nether Cobblestone
railcraft:brick_andesite:0, Andesite Brick
railcraft:brick_andesite:1, Fitted Andesite
railcraft:brick_andesite:6, Polished Andesite
railcraft:brick_andesite:3, Ornate Andesite
railcraft:brick_andesite:4, Etched Andesite
railcraft:brick_andesite:5, Andesite Cobblestone
railcraft:brick_diorite:0, Diorite Brick
railcraft:brick_diorite:1, Fitted Diorite
railcraft:brick_diorite:4, Polished Diorite
railcraft:brick_diorite:3, Ornate Diorite
railcraft:brick_diorite:4, Etched Diorite
railcraft:brick_diorite:5, Diorite Cobblestone
railcraft:brick_granite:0, Granite Brick
railcraft:brick_granite:1, Fitted Granite
railcraft:brick_granite:2, Polished Granite
railcraft:brick_granite:3, Ornate Granite
railcraft:brick_granite:4, Etched Granite
railcraft:brick_granite:5, Granite Cobblestone
railcraft:brick_pearlized:0, Pearlized Brick
railcraft:brick_pearlized:1, Fitted Pearlized Stone
railcraft:brick_pearlized:2, Pearlized Block
railcraft:brick_pearlized:3, Ornate Pearlized Stone
railcraft:brick_pearlized:4, Etched Pearlized Stone
railcraft:brick_pearlized:5, Pearlized Cobblestone
railcraft:tool_stone_carver, Stone Carver
railcraft:concrete, Bag of Cement
railcraft:glass:0, Strengthened Glass
railcraft:glass:1, Orange Strengthened Glass
railcraft:glass:2, Magenta Strengthened Glass
railcraft:glass:3, Light Blue Strengthened Glass
railcraft:glass:4, Yellow Strengthened Glass
railcraft:glass:5, Lime Strengthened Glass
railcraft:glass:6, Pink Strengthened Glass
railcraft:glass:7, Gray Strengthened Glass
railcraft:glass:8, Light Gray Strengthened Glass
railcraft:glass:9, Cyan Strengthened Glass
railcraft:glass:10, Purple Strengthened Glass
railcraft:glass:11, Blue Strengthened Glass
railcraft:glass:12, Brown Strengthened Glass
railcraft:glass:13, Green Strengthened Glass
railcraft:glass:14, Red Strengthened Glass
railcraft:glass:15, Black Strengthened Glass
railcraft:generic:5, Creosote Wood Block
railcraft:generic:6, Block of Coal Coke
railcraft:generic:7, Crushed Obsidian
railcraft:reinforced_concrete:0, White Reinforced Concrete
railcraft:reinforced_concrete:1, Orange Reinforced Concrete
railcraft:reinforced_concrete:2, Magenta Reinforced Concrete
railcraft:reinforced_concrete:3, Light Blue Reinforced Concrete
railcraft:reinforced_concrete:4, Yellow Reinforced Concrete
railcraft:reinforced_concrete:5, Lime Reinforced Concrete
railcraft:reinforced_concrete:6, Pink Reinforced Concrete
railcraft:reinforced_concrete:7, Gray Reinforced Concrete
railcraft:reinforced_concrete:8, Reinforced Concrete
railcraft:reinforced_concrete:9, Cyan Reinforced Concrete
railcraft:reinforced_concrete:10, Purple Reinforced Concrete
railcraft:reinforced_concrete:11, Blue Reinforced Concrete
railcraft:reinforced_concrete:12, Brown Reinforced Concrete
railcraft:reinforced_concrete:13, Green Reinforced Concrete
railcraft:reinforced_concrete:14, Red Reinforced Concrete
railcraft:reinforced_concrete:15, Black Reinforced Concrete
railcraft:post_metal:0, White Metal Post
railcraft:post_metal:1, Orange Metal Post
railcraft:post_metal:2, Magenta Metal Post
railcraft:post_metal:3, Light Blue Metal Post
railcraft:post_metal:4, Yellow Metal Post
railcraft:post_metal:5, Lime Metal Post
railcraft:post_metal:6, Pink Metal Post
railcraft:post_metal:7, Gray Metal Post
railcraft:post_metal:8, Light Gray Metal Post
railcraft:post_metal:9, Cyan Metal Post
railcraft:post_metal:10, Purple Metal Post
railcraft:post_metal:11, Blue Metal Post
railcraft:post_metal:12, Brown Metal Post
railcraft:post_metal:13, Green Metal Post
railcraft:post_metal:14, Red Metal Post
railcraft:post_metal:15, Black Metal Post
railcraft:post_metal_platform:0, White Metal Platform
railcraft:post_metal_platform:1, Orange Metal Platform
railcraft:post_metal_platform:2, Magenta Metal Platform
railcraft:post_metal_platform:3, Light Blue Metal Platform
railcraft:post_metal_platform:4, Yellow Metal Platform
railcraft:post_metal_platform:5, Lime Metal Platform
railcraft:post_metal_platform:6, Pink Metal Platform
railcraft:post_metal_platform:7, Gray Metal Platform
railcraft:post_metal_platform:8, Light Gray Metal Platform
railcraft:post_metal_platform:9, Cyan Metal Platform
railcraft:post_metal_platform:10, Purple Metal Platform
railcraft:post_metal_platform:11, Blue Metal Platform
railcraft:post_metal_platform:12, Brown Metal Platform
railcraft:post_metal_platform:13, Green Metal Platform
railcraft:post_metal_platform:14, Red Metal Platform
railcraft:post_metal_platform:15, Black Metal Platform
railcraft:track_kit:1, Activator Track Kit
railcraft:track_kit:2, Booster Track Kit
railcraft:track_kit:3, Buffer Stop Track Kit
railcraft:track_kit:4, Control Track Kit
railcraft:track_kit:5, Detector Track Kit
railcraft:track_kit:6, Disembarking Track Kit
railcraft:track_kit:7, Dumping Track Kit
railcraft:track_kit:8, Embarking Track Kit
railcraft:track_kit:9, Gated Track Kit
railcraft:track_kit:10, Locking Track Kit
railcraft:track_kit:11, One-Way Track Kit
railcraft:track_kit:15, Messenger Track Kit
railcraft:track_kit:16, Delayed Locking Track Kit
railcraft:track_kit:17, Priming Track Kit
railcraft:track_kit:18, Launcher Track Kit
railcraft:track_kit:19, Whistle Track Kit
railcraft:track_kit:20, Locomotive Track Kit
railcraft:track_kit:21, Throttle Track Kit
railcraft:track_kit:22, Routing Track Kit
railcraft:track_kit:23, Transition Track Kit
railcraft:track_kit:24, Coupler Track Kit
railcraft:tool_spike_maul_iron, Iron Spike Maul
railcraft:tool_spike_maul_steel, Steel Spike Maul
railcraft:railbed:0, Wooden Railbed
railcraft:railbed:1, Stone Railbed
railcraft:track_parts, Track Parts
railcraft:actuator:0, Switch Actuator Lever
railcraft:actuator:1, Switch Actuator Motor
railcraft:actuator:2, Routing Switch Actuator Motor
railcraft:cart_tnt_wood:0, Wooden TNT Cart
railcraft:track_elevator, Elevator Track
railcraft:logbook, Logbook
railcraft:tool_whistle_tuner, Whistle Tuner
railcraft:routing_table, Routing Table
railcraft:routing_ticket, Railway Ticket
railcraft:routing_ticket_gold, Golden Railway Ticket
railcraft:track_flex_abandoned, Abandoned Track
railcraft:track_flex_electric, Electric Track
railcraft:track_flex_high_speed, High Speed Track
railcraft:track_flex_hs_electric, High Speed Electric Track
railcraft:track_flex_reinforced, Reinforced Track
railcraft:track_flex_strap_iron, Strap Iron Track
railcraft:cart_cargo:0, Cargo Cart
